1-2 1-65,65-2
1-3 1-65,65-3
1-4 1-65,65-4
1-5 1-65,65-5
1-6 1-65,65-6
1-7 1-65,65-7
1-8 1-65,65-8
1-9 1-73,73-9
1-10 1-65,65-2,2-74,74-10
1-10 1-73,73-9,9-66,66-10
1-11 1-65,65-3,3-75,75-11
1-11 1-73,73-9,9-66,66-11
1-12 1-65,65-4,4-76,76-12
1-12 1-73,73-9,9-66,66-12
1-13 1-65,65-5,5-77,77-13
1-13 1-73,73-9,9-66,66-13
1-14 1-65,65-6,6-78,78-14
1-14 1-73,73-9,9-66,66-14
1-15 1-65,65-7,7-79,79-15
1-15 1-73,73-9,9-66,66-15
1-16 1-65,65-8,8-80,80-16
1-16 1-73,73-9,9-66,66-16
1-17 1-73,73-17
1-18 1-65,65-2,2-74,74-18
1-18 1-73,73-17,17-67,67-18
1-19 1-65,65-3,3-75,75-19
1-19 1-73,73-17,17-67,67-19
1-20 1-65,65-4,4-76,76-20
1-20 1-73,73-17,17-67,67-20
1-21 1-65,65-5,5-77,77-21
1-21 1-73,73-17,17-67,67-21
1-22 1-65,65-6,6-78,78-22
1-22 1-73,73-17,17-67,67-22
1-23 1-65,65-7,7-79,79-23
1-23 1-73,73-17,17-67,67-23
1-24 1-65,65-8,8-80,80-24
1-24 1-73,73-17,17-67,67-24
1-25 1-73,73-25
1-26 1-65,65-2,2-74,74-26
1-26 1-73,73-25,25-68,68-26
1-27 1-65,65-3,3-75,75-27
1-27 1-73,73-25,25-68,68-27
1-28 1-65,65-4,4-76,76-28
1-28 1-73,73-25,25-68,68-28
1-29 1-65,65-5,5-77,77-29
1-29 1-73,73-25,25-68,68-29
1-30 1-65,65-6,6-78,78-30
1-30 1-73,73-25,25-68,68-30
1-31 1-65,65-7,7-79,79-31
1-31 1-73,73-25,25-68,68-31
1-32 1-65,65-8,8-80,80-32
1-32 1-73,73-25,25-68,68-32
1-33 1-73,73-33
1-34 1-65,65-2,2-74,74-34
1-34 1-73,73-33,33-69,69-34
1-35 1-65,65-3,3-75,75-35
1-35 1-73,73-33,33-69,69-35
1-36 1-65,65-4,4-76,76-36
1-36 1-73,73-33,33-69,69-36
1-37 1-65,65-5,5-77,77-37
1-37 1-73,73-33,33-69,69-37
1-38 1-65,65-6,6-78,78-38
1-38 1-73,73-33,33-69,69-38
1-39 1-65,65-7,7-79,79-39
1-39 1-73,73-33,33-69,69-39
1-40 1-65,65-8,8-80,80-40
1-40 1-73,73-33,33-69,69-40
1-41 1-73,73-41
1-42 1-65,65-2,2-74,74-42
1-42 1-73,73-41,41-70,70-42
1-43 1-65,65-3,3-75,75-43
1-43 1-73,73-41,41-70,70-43
1-44 1-65,65-4,4-76,76-44
1-44 1-73,73-41,41-70,70-44
1-45 1-65,65-5,5-77,77-45
1-45 1-73,73-41,41-70,70-45
1-46 1-65,65-6,6-78,78-46
1-46 1-73,73-41,41-70,70-46
1-47 1-65,65-7,7-79,79-47
1-47 1-73,73-41,41-70,70-47
1-48 1-65,65-8,8-80,80-48
1-48 1-73,73-41,41-70,70-48
1-49 1-73,73-49
1-50 1-65,65-2,2-74,74-50
1-50 1-73,73-49,49-71,71-50
1-51 1-65,65-3,3-75,75-51
1-51 1-73,73-49,49-71,71-51
1-52 1-65,65-4,4-76,76-52
1-52 1-73,73-49,49-71,71-52
1-53 1-65,65-5,5-77,77-53
1-53 1-73,73-49,49-71,71-53
1-54 1-65,65-6,6-78,78-54
1-54 1-73,73-49,49-71,71-54
1-55 1-65,65-7,7-79,79-55
1-55 1-73,73-49,49-71,71-55
1-56 1-65,65-8,8-80,80-56
1-56 1-73,73-49,49-71,71-56
1-57 1-73,73-57
1-58 1-65,65-2,2-74,74-58
1-58 1-73,73-57,57-72,72-58
1-59 1-65,65-3,3-75,75-59
1-59 1-73,73-57,57-72,72-59
1-60 1-65,65-4,4-76,76-60
1-60 1-73,73-57,57-72,72-60
1-61 1-65,65-5,5-77,77-61
1-61 1-73,73-57,57-72,72-61
1-62 1-65,65-6,6-78,78-62
1-62 1-73,73-57,57-72,72-62
1-63 1-65,65-7,7-79,79-63
1-63 1-73,73-57,57-72,72-63
1-64 1-65,65-8,8-80,80-64
1-64 1-73,73-57,57-72,72-64
2-1 2-65,65-1
2-3 2-65,65-3
2-4 2-65,65-4
2-5 2-65,65-5
2-6 2-65,65-6
2-7 2-65,65-7
2-8 2-65,65-8
2-9 2-65,65-1,1-73,73-9
2-9 2-74,74-10,10-66,66-9
2-10 2-74,74-10
2-11 2-65,65-3,3-75,75-11
2-11 2-74,74-10,10-66,66-11
2-12 2-65,65-4,4-76,76-12
2-12 2-74,74-10,10-66,66-12
2-13 2-65,65-5,5-77,77-13
2-13 2-74,74-10,10-66,66-13
2-14 2-65,65-6,6-78,78-14
2-14 2-74,74-10,10-66,66-14
2-15 2-65,65-7,7-79,79-15
2-15 2-74,74-10,10-66,66-15
2-16 2-65,65-8,8-80,80-16
2-16 2-74,74-10,10-66,66-16
2-17 2-65,65-1,1-73,73-17
2-17 2-74,74-18,18-67,67-17
2-18 2-74,74-18
2-19 2-65,65-3,3-75,75-19
2-19 2-74,74-18,18-67,67-19
2-20 2-65,65-4,4-76,76-20
2-20 2-74,74-18,18-67,67-20
2-21 2-65,65-5,5-77,77-21
2-21 2-74,74-18,18-67,67-21
2-22 2-65,65-6,6-78,78-22
2-22 2-74,74-18,18-67,67-22
2-23 2-65,65-7,7-79,79-23
2-23 2-74,74-18,18-67,67-23
2-24 2-65,65-8,8-80,80-24
2-24 2-74,74-18,18-67,67-24
2-25 2-65,65-1,1-73,73-25
2-25 2-74,74-26,26-68,68-25
2-26 2-74,74-26
2-27 2-65,65-3,3-75,75-27
2-27 2-74,74-26,26-68,68-27
2-28 2-65,65-4,4-76,76-28
2-28 2-74,74-26,26-68,68-28
2-29 2-65,65-5,5-77,77-29
2-29 2-74,74-26,26-68,68-29
2-30 2-65,65-6,6-78,78-30
2-30 2-74,74-26,26-68,68-30
2-31 2-65,65-7,7-79,79-31
2-31 2-74,74-26,26-68,68-31
2-32 2-65,65-8,8-80,80-32
2-32 2-74,74-26,26-68,68-32
2-33 2-65,65-1,1-73,73-33
2-33 2-74,74-34,34-69,69-33
2-34 2-74,74-34
2-35 2-65,65-3,3-75,75-35
2-35 2-74,74-34,34-69,69-35
2-36 2-65,65-4,4-76,76-36
2-36 2-74,74-34,34-69,69-36
2-37 2-65,65-5,5-77,77-37
2-37 2-74,74-34,34-69,69-37
2-38 2-65,65-6,6-78,78-38
2-38 2-74,74-34,34-69,69-38
2-39 2-65,65-7,7-79,79-39
2-39 2-74,74-34,34-69,69-39
2-40 2-65,65-8,8-80,80-40
2-40 2-74,74-34,34-69,69-40
2-41 2-65,65-1,1-73,73-41
2-41 2-74,74-42,42-70,70-41
2-42 2-74,74-42
2-43 2-65,65-3,3-75,75-43
2-43 2-74,74-42,42-70,70-43
2-44 2-65,65-4,4-76,76-44
2-44 2-74,74-42,42-70,70-44
2-45 2-65,65-5,5-77,77-45
2-45 2-74,74-42,42-70,70-45
2-46 2-65,65-6,6-78,78-46
2-46 2-74,74-42,42-70,70-46
2-47 2-65,65-7,7-79,79-47
2-47 2-74,74-42,42-70,70-47
2-48 2-65,65-8,8-80,80-48
2-48 2-74,74-42,42-70,70-48
2-49 2-65,65-1,1-73,73-49
2-49 2-74,74-50,50-71,71-49
2-50 2-74,74-50
2-51 2-65,65-3,3-75,75-51
2-51 2-74,74-50,50-71,71-51
2-52 2-65,65-4,4-76,76-52
2-52 2-74,74-50,50-71,71-52
2-53 2-65,65-5,5-77,77-53
2-53 2-74,74-50,50-71,71-53
2-54 2-65,65-6,6-78,78-54
2-54 2-74,74-50,50-71,71-54
2-55 2-65,65-7,7-79,79-55
2-55 2-74,74-50,50-71,71-55
2-56 2-65,65-8,8-80,80-56
2-56 2-74,74-50,50-71,71-56
2-57 2-65,65-1,1-73,73-57
2-57 2-74,74-58,58-72,72-57
2-58 2-74,74-58
2-59 2-65,65-3,3-75,75-59
2-59 2-74,74-58,58-72,72-59
2-60 2-65,65-4,4-76,76-60
2-60 2-74,74-58,58-72,72-60
2-61 2-65,65-5,5-77,77-61
2-61 2-74,74-58,58-72,72-61
2-62 2-65,65-6,6-78,78-62
2-62 2-74,74-58,58-72,72-62
2-63 2-65,65-7,7-79,79-63
2-63 2-74,74-58,58-72,72-63
2-64 2-65,65-8,8-80,80-64
2-64 2-74,74-58,58-72,72-64
3-1 3-65,65-1
3-2 3-65,65-2
3-4 3-65,65-4
3-5 3-65,65-5
3-6 3-65,65-6
3-7 3-65,65-7
3-8 3-65,65-8
3-9 3-65,65-1,1-73,73-9
3-9 3-75,75-11,11-66,66-9
3-10 3-65,65-2,2-74,74-10
3-10 3-75,75-11,11-66,66-10
3-11 3-75,75-11
3-12 3-65,65-4,4-76,76-12
3-12 3-75,75-11,11-66,66-12
3-13 3-65,65-5,5-77,77-13
3-13 3-75,75-11,11-66,66-13
3-14 3-65,65-6,6-78,78-14
3-14 3-75,75-11,11-66,66-14
3-15 3-65,65-7,7-79,79-15
3-15 3-75,75-11,11-66,66-15
3-16 3-65,65-8,8-80,80-16
3-16 3-75,75-11,11-66,66-16
3-17 3-65,65-1,1-73,73-17
3-17 3-75,75-19,19-67,67-17
3-18 3-65,65-2,2-74,74-18
3-18 3-75,75-19,19-67,67-18
3-19 3-75,75-19
3-20 3-65,65-4,4-76,76-20
3-20 3-75,75-19,19-67,67-20
3-21 3-65,65-5,5-77,77-21
3-21 3-75,75-19,19-67,67-21
3-22 3-65,65-6,6-78,78-22
3-22 3-75,75-19,19-67,67-22
3-23 3-65,65-7,7-79,79-23
3-23 3-75,75-19,19-67,67-23
3-24 3-65,65-8,8-80,80-24
3-24 3-75,75-19,19-67,67-24
3-25 3-65,65-1,1-73,73-25
3-25 3-75,75-27,27-68,68-25
3-26 3-65,65-2,2-74,74-26
3-26 3-75,75-27,27-68,68-26
3-27 3-75,75-27
3-28 3-65,65-4,4-76,76-28
3-28 3-75,75-27,27-68,68-28
3-29 3-65,65-5,5-77,77-29
3-29 3-75,75-27,27-68,68-29
3-30 3-65,65-6,6-78,78-30
3-30 3-75,75-27,27-68,68-30
3-31 3-65,65-7,7-79,79-31
3-31 3-75,75-27,27-68,68-31
3-32 3-65,65-8,8-80,80-32
3-32 3-75,75-27,27-68,68-32
3-33 3-65,65-1,1-73,73-33
3-33 3-75,75-35,35-69,69-33
3-34 3-65,65-2,2-74,74-34
3-34 3-75,75-35,35-69,69-34
3-35 3-75,75-35
3-36 3-65,65-4,4-76,76-36
3-36 3-75,75-35,35-69,69-36
3-37 3-65,65-5,5-77,77-37
3-37 3-75,75-35,35-69,69-37
3-38 3-65,65-6,6-78,78-38
3-38 3-75,75-35,35-69,69-38
3-39 3-65,65-7,7-79,79-39
3-39 3-75,75-35,35-69,69-39
3-40 3-65,65-8,8-80,80-40
3-40 3-75,75-35,35-69,69-40
3-41 3-65,65-1,1-73,73-41
3-41 3-75,75-43,43-70,70-41
3-42 3-65,65-2,2-74,74-42
3-42 3-75,75-43,43-70,70-42
3-43 3-75,75-43
3-44 3-65,65-4,4-76,76-44
3-44 3-75,75-43,43-70,70-44
3-45 3-65,65-5,5-77,77-45
3-45 3-75,75-43,43-70,70-45
3-46 3-65,65-6,6-78,78-46
3-46 3-75,75-43,43-70,70-46
3-47 3-65,65-7,7-79,79-47
3-47 3-75,75-43,43-70,70-47
3-48 3-65,65-8,8-80,80-48
3-48 3-75,75-43,43-70,70-48
3-49 3-65,65-1,1-73,73-49
3-49 3-75,75-51,51-71,71-49
3-50 3-65,65-2,2-74,74-50
3-50 3-75,75-51,51-71,71-50
3-51 3-75,75-51
3-52 3-65,65-4,4-76,76-52
3-52 3-75,75-51,51-71,71-52
3-53 3-65,65-5,5-77,77-53
3-53 3-75,75-51,51-71,71-53
3-54 3-65,65-6,6-78,78-54
3-54 3-75,75-51,51-71,71-54
3-55 3-65,65-7,7-79,79-55
3-55 3-75,75-51,51-71,71-55
3-56 3-65,65-8,8-80,80-56
3-56 3-75,75-51,51-71,71-56
3-57 3-65,65-1,1-73,73-57
3-57 3-75,75-59,59-72,72-57
3-58 3-65,65-2,2-74,74-58
3-58 3-75,75-59,59-72,72-58
3-59 3-75,75-59
3-60 3-65,65-4,4-76,76-60
3-60 3-75,75-59,59-72,72-60
3-61 3-65,65-5,5-77,77-61
3-61 3-75,75-59,59-72,72-61
3-62 3-65,65-6,6-78,78-62
3-62 3-75,75-59,59-72,72-62
3-63 3-65,65-7,7-79,79-63
3-63 3-75,75-59,59-72,72-63
3-64 3-65,65-8,8-80,80-64
3-64 3-75,75-59,59-72,72-64
4-1 4-65,65-1
4-2 4-65,65-2
4-3 4-65,65-3
4-5 4-65,65-5
4-6 4-65,65-6
4-7 4-65,65-7
4-8 4-65,65-8
4-9 4-65,65-1,1-73,73-9
4-9 4-76,76-12,12-66,66-9
4-10 4-65,65-2,2-74,74-10
4-10 4-76,76-12,12-66,66-10
4-11 4-65,65-3,3-75,75-11
4-11 4-76,76-12,12-66,66-11
4-12 4-76,76-12
4-13 4-65,65-5,5-77,77-13
4-13 4-76,76-12,12-66,66-13
4-14 4-65,65-6,6-78,78-14
4-14 4-76,76-12,12-66,66-14
4-15 4-65,65-7,7-79,79-15
4-15 4-76,76-12,12-66,66-15
4-16 4-65,65-8,8-80,80-16
4-16 4-76,76-12,12-66,66-16
4-17 4-65,65-1,1-73,73-17
4-17 4-76,76-20,20-67,67-17
4-18 4-65,65-2,2-74,74-18
4-18 4-76,76-20,20-67,67-18
4-19 4-65,65-3,3-75,75-19
4-19 4-76,76-20,20-67,67-19
4-20 4-76,76-20
4-21 4-65,65-5,5-77,77-21
4-21 4-76,76-20,20-67,67-21
4-22 4-65,65-6,6-78,78-22
4-22 4-76,76-20,20-67,67-22
4-23 4-65,65-7,7-79,79-23
4-23 4-76,76-20,20-67,67-23
4-24 4-65,65-8,8-80,80-24
4-24 4-76,76-20,20-67,67-24
4-25 4-65,65-1,1-73,73-25
4-25 4-76,76-28,28-68,68-25
4-26 4-65,65-2,2-74,74-26
4-26 4-76,76-28,28-68,68-26
4-27 4-65,65-3,3-75,75-27
4-27 4-76,76-28,28-68,68-27
4-28 4-76,76-28
4-29 4-65,65-5,5-77,77-29
4-29 4-76,76-28,28-68,68-29
4-30 4-65,65-6,6-78,78-30
4-30 4-76,76-28,28-68,68-30
4-31 4-65,65-7,7-79,79-31
4-31 4-76,76-28,28-68,68-31
4-32 4-65,65-8,8-80,80-32
4-32 4-76,76-28,28-68,68-32
4-33 4-65,65-1,1-73,73-33
4-33 4-76,76-36,36-69,69-33
4-34 4-65,65-2,2-74,74-34
4-34 4-76,76-36,36-69,69-34
4-35 4-65,65-3,3-75,75-35
4-35 4-76,76-36,36-69,69-35
4-36 4-76,76-36
4-37 4-65,65-5,5-77,77-37
4-37 4-76,76-36,36-69,69-37
4-38 4-65,65-6,6-78,78-38
4-38 4-76,76-36,36-69,69-38
4-39 4-65,65-7,7-79,79-39
4-39 4-76,76-36,36-69,69-39
4-40 4-65,65-8,8-80,80-40
4-40 4-76,76-36,36-69,69-40
4-41 4-65,65-1,1-73,73-41
4-41 4-76,76-44,44-70,70-41
4-42 4-65,65-2,2-74,74-42
4-42 4-76,76-44,44-70,70-42
4-43 4-65,65-3,3-75,75-43
4-43 4-76,76-44,44-70,70-43
4-44 4-76,76-44
4-45 4-65,65-5,5-77,77-45
4-45 4-76,76-44,44-70,70-45
4-46 4-65,65-6,6-78,78-46
4-46 4-76,76-44,44-70,70-46
4-47 4-65,65-7,7-79,79-47
4-47 4-76,76-44,44-70,70-47
4-48 4-65,65-8,8-80,80-48
4-48 4-76,76-44,44-70,70-48
4-49 4-65,65-1,1-73,73-49
4-49 4-76,76-52,52-71,71-49
4-50 4-65,65-2,2-74,74-50
4-50 4-76,76-52,52-71,71-50
4-51 4-65,65-3,3-75,75-51
4-51 4-76,76-52,52-71,71-51
4-52 4-76,76-52
4-53 4-65,65-5,5-77,77-53
4-53 4-76,76-52,52-71,71-53
4-54 4-65,65-6,6-78,78-54
4-54 4-76,76-52,52-71,71-54
4-55 4-65,65-7,7-79,79-55
4-55 4-76,76-52,52-71,71-55
4-56 4-65,65-8,8-80,80-56
4-56 4-76,76-52,52-71,71-56
4-57 4-65,65-1,1-73,73-57
4-57 4-76,76-60,60-72,72-57
4-58 4-65,65-2,2-74,74-58
4-58 4-76,76-60,60-72,72-58
4-59 4-65,65-3,3-75,75-59
4-59 4-76,76-60,60-72,72-59
4-60 4-76,76-60
4-61 4-65,65-5,5-77,77-61
4-61 4-76,76-60,60-72,72-61
4-62 4-65,65-6,6-78,78-62
4-62 4-76,76-60,60-72,72-62
4-63 4-65,65-7,7-79,79-63
4-63 4-76,76-60,60-72,72-63
4-64 4-65,65-8,8-80,80-64
4-64 4-76,76-60,60-72,72-64
5-1 5-65,65-1
5-2 5-65,65-2
5-3 5-65,65-3
5-4 5-65,65-4
5-6 5-65,65-6
5-7 5-65,65-7
5-8 5-65,65-8
5-9 5-65,65-1,1-73,73-9
5-9 5-77,77-13,13-66,66-9
5-10 5-65,65-2,2-74,74-10
5-10 5-77,77-13,13-66,66-10
5-11 5-65,65-3,3-75,75-11
5-11 5-77,77-13,13-66,66-11
5-12 5-65,65-4,4-76,76-12
5-12 5-77,77-13,13-66,66-12
5-13 5-77,77-13
5-14 5-65,65-6,6-78,78-14
5-14 5-77,77-13,13-66,66-14
5-15 5-65,65-7,7-79,79-15
5-15 5-77,77-13,13-66,66-15
5-16 5-65,65-8,8-80,80-16
5-16 5-77,77-13,13-66,66-16
5-17 5-65,65-1,1-73,73-17
5-17 5-77,77-21,21-67,67-17
5-18 5-65,65-2,2-74,74-18
5-18 5-77,77-21,21-67,67-18
5-19 5-65,65-3,3-75,75-19
5-19 5-77,77-21,21-67,67-19
5-20 5-65,65-4,4-76,76-20
5-20 5-77,77-21,21-67,67-20
5-21 5-77,77-21
5-22 5-65,65-6,6-78,78-22
5-22 5-77,77-21,21-67,67-22
5-23 5-65,65-7,7-79,79-23
5-23 5-77,77-21,21-67,67-23
5-24 5-65,65-8,8-80,80-24
5-24 5-77,77-21,21-67,67-24
5-25 5-65,65-1,1-73,73-25
5-25 5-77,77-29,29-68,68-25
5-26 5-65,65-2,2-74,74-26
5-26 5-77,77-29,29-68,68-26
5-27 5-65,65-3,3-75,75-27
5-27 5-77,77-29,29-68,68-27
5-28 5-65,65-4,4-76,76-28
5-28 5-77,77-29,29-68,68-28
5-29 5-77,77-29
5-30 5-65,65-6,6-78,78-30
5-30 5-77,77-29,29-68,68-30
5-31 5-65,65-7,7-79,79-31
5-31 5-77,77-29,29-68,68-31
5-32 5-65,65-8,8-80,80-32
5-32 5-77,77-29,29-68,68-32
5-33 5-65,65-1,1-73,73-33
5-33 5-77,77-37,37-69,69-33
5-34 5-65,65-2,2-74,74-34
5-34 5-77,77-37,37-69,69-34
5-35 5-65,65-3,3-75,75-35
5-35 5-77,77-37,37-69,69-35
5-36 5-65,65-4,4-76,76-36
5-36 5-77,77-37,37-69,69-36
5-37 5-77,77-37
5-38 5-65,65-6,6-78,78-38
5-38 5-77,77-37,37-69,69-38
5-39 5-65,65-7,7-79,79-39
5-39 5-77,77-37,37-69,69-39
5-40 5-65,65-8,8-80,80-40
5-40 5-77,77-37,37-69,69-40
5-41 5-65,65-1,1-73,73-41
5-41 5-77,77-45,45-70,70-41
5-42 5-65,65-2,2-74,74-42
5-42 5-77,77-45,45-70,70-42
5-43 5-65,65-3,3-75,75-43
5-43 5-77,77-45,45-70,70-43
5-44 5-65,65-4,4-76,76-44
5-44 5-77,77-45,45-70,70-44
5-45 5-77,77-45
5-46 5-65,65-6,6-78,78-46
5-46 5-77,77-45,45-70,70-46
5-47 5-65,65-7,7-79,79-47
5-47 5-77,77-45,45-70,70-47
5-48 5-65,65-8,8-80,80-48
5-48 5-77,77-45,45-70,70-48
5-49 5-65,65-1,1-73,73-49
5-49 5-77,77-53,53-71,71-49
5-50 5-65,65-2,2-74,74-50
5-50 5-77,77-53,53-71,71-50
5-51 5-65,65-3,3-75,75-51
5-51 5-77,77-53,53-71,71-51
5-52 5-65,65-4,4-76,76-52
5-52 5-77,77-53,53-71,71-52
5-53 5-77,77-53
5-54 5-65,65-6,6-78,78-54
5-54 5-77,77-53,53-71,71-54
5-55 5-65,65-7,7-79,79-55
5-55 5-77,77-53,53-71,71-55
5-56 5-65,65-8,8-80,80-56
5-56 5-77,77-53,53-71,71-56
5-57 5-65,65-1,1-73,73-57
5-57 5-77,77-61,61-72,72-57
5-58 5-65,65-2,2-74,74-58
5-58 5-77,77-61,61-72,72-58
5-59 5-65,65-3,3-75,75-59
5-59 5-77,77-61,61-72,72-59
5-60 5-65,65-4,4-76,76-60
5-60 5-77,77-61,61-72,72-60
5-61 5-77,77-61
5-62 5-65,65-6,6-78,78-62
5-62 5-77,77-61,61-72,72-62
5-63 5-65,65-7,7-79,79-63
5-63 5-77,77-61,61-72,72-63
5-64 5-65,65-8,8-80,80-64
5-64 5-77,77-61,61-72,72-64
6-1 6-65,65-1
6-2 6-65,65-2
6-3 6-65,65-3
6-4 6-65,65-4
6-5 6-65,65-5
6-7 6-65,65-7
6-8 6-65,65-8
6-9 6-65,65-1,1-73,73-9
6-9 6-78,78-14,14-66,66-9
6-10 6-65,65-2,2-74,74-10
6-10 6-78,78-14,14-66,66-10
6-11 6-65,65-3,3-75,75-11
6-11 6-78,78-14,14-66,66-11
6-12 6-65,65-4,4-76,76-12
6-12 6-78,78-14,14-66,66-12
