1-2 1-67,67-2
1-3 1-67,67-3
1-4 1-67,67-4
1-5 1-67,67-5
1-6 1-67,67-6
1-7 1-67,67-7
1-8 1-67,67-8
1-9 1-67,67-65,65-68,68-9
1-9 1-67,67-66,66-68,68-9
1-10 1-67,67-65,65-68,68-10
1-10 1-67,67-66,66-68,68-10
1-11 1-67,67-65,65-68,68-11
1-11 1-67,67-66,66-68,68-11
1-12 1-67,67-65,65-68,68-12
1-12 1-67,67-66,66-68,68-12
1-13 1-67,67-65,65-68,68-13
1-13 1-67,67-66,66-68,68-13
1-14 1-67,67-65,65-68,68-14
1-14 1-67,67-66,66-68,68-14
1-15 1-67,67-65,65-68,68-15
1-15 1-67,67-66,66-68,68-15
1-16 1-67,67-65,65-68,68-16
1-16 1-67,67-66,66-68,68-16
1-17 1-67,67-65,65-81,81-69,69-71,71-17
1-17 1-67,67-65,65-83,83-69,69-71,71-17
1-17 1-67,67-66,66-84,84-70,70-71,71-17
1-17 1-67,67-66,66-82,82-70,70-71,71-17
1-18 1-67,67-65,65-81,81-69,69-71,71-18
1-18 1-67,67-65,65-83,83-69,69-71,71-18
1-18 1-67,67-66,66-84,84-70,70-71,71-18
1-18 1-67,67-66,66-82,82-70,70-71,71-18
1-19 1-67,67-65,65-81,81-69,69-71,71-19
1-19 1-67,67-65,65-83,83-69,69-71,71-19
1-19 1-67,67-66,66-84,84-70,70-71,71-19
1-19 1-67,67-66,66-82,82-70,70-71,71-19
1-20 1-67,67-65,65-81,81-69,69-71,71-20
1-20 1-67,67-65,65-83,83-69,69-71,71-20
1-20 1-67,67-66,66-84,84-70,70-71,71-20
1-20 1-67,67-66,66-82,82-70,70-71,71-20
1-21 1-67,67-65,65-81,81-69,69-71,71-21
1-21 1-67,67-65,65-83,83-69,69-71,71-21
1-21 1-67,67-66,66-84,84-70,70-71,71-21
1-21 1-67,67-66,66-82,82-70,70-71,71-21
1-22 1-67,67-65,65-81,81-69,69-71,71-22
1-22 1-67,67-65,65-83,83-69,69-71,71-22
1-22 1-67,67-66,66-84,84-70,70-71,71-22
1-22 1-67,67-66,66-82,82-70,70-71,71-22
1-23 1-67,67-65,65-81,81-69,69-71,71-23
1-23 1-67,67-65,65-83,83-69,69-71,71-23
1-23 1-67,67-66,66-84,84-70,70-71,71-23
1-23 1-67,67-66,66-82,82-70,70-71,71-23
1-24 1-67,67-65,65-81,81-69,69-71,71-24
1-24 1-67,67-65,65-83,83-69,69-71,71-24
1-24 1-67,67-66,66-84,84-70,70-71,71-24
1-24 1-67,67-66,66-82,82-70,70-71,71-24
1-25 1-67,67-65,65-81,81-69,69-72,72-25
1-25 1-67,67-65,65-83,83-69,69-72,72-25
1-25 1-67,67-66,66-84,84-70,70-72,72-25
1-25 1-67,67-66,66-82,82-70,70-72,72-25
1-26 1-67,67-65,65-81,81-69,69-72,72-26
1-26 1-67,67-65,65-83,83-69,69-72,72-26
1-26 1-67,67-66,66-84,84-70,70-72,72-26
1-26 1-67,67-66,66-82,82-70,70-72,72-26
1-27 1-67,67-65,65-81,81-69,69-72,72-27
1-27 1-67,67-65,65-83,83-69,69-72,72-27
1-27 1-67,67-66,66-84,84-70,70-72,72-27
1-27 1-67,67-66,66-82,82-70,70-72,72-27
1-28 1-67,67-65,65-81,81-69,69-72,72-28
1-28 1-67,67-65,65-83,83-69,69-72,72-28
1-28 1-67,67-66,66-84,84-70,70-72,72-28
1-28 1-67,67-66,66-82,82-70,70-72,72-28
1-29 1-67,67-65,65-81,81-69,69-72,72-29
1-29 1-67,67-65,65-83,83-69,69-72,72-29
1-29 1-67,67-66,66-84,84-70,70-72,72-29
1-29 1-67,67-66,66-82,82-70,70-72,72-29
1-30 1-67,67-65,65-81,81-69,69-72,72-30
1-30 1-67,67-65,65-83,83-69,69-72,72-30
1-30 1-67,67-66,66-84,84-70,70-72,72-30
1-30 1-67,67-66,66-82,82-70,70-72,72-30
1-31 1-67,67-65,65-81,81-69,69-72,72-31
1-31 1-67,67-65,65-83,83-69,69-72,72-31
1-31 1-67,67-66,66-84,84-70,70-72,72-31
1-31 1-67,67-66,66-82,82-70,70-72,72-31
1-32 1-67,67-65,65-81,81-69,69-72,72-32
1-32 1-67,67-65,65-83,83-69,69-72,72-32
1-32 1-67,67-66,66-84,84-70,70-72,72-32
1-32 1-67,67-66,66-82,82-70,70-72,72-32
1-33 1-67,67-65,65-81,81-73,73-75,75-33
1-33 1-67,67-65,65-83,83-73,73-75,75-33
1-33 1-67,67-66,66-84,84-74,74-75,75-33
1-33 1-67,67-66,66-82,82-74,74-75,75-33
1-34 1-67,67-65,65-81,81-73,73-75,75-34
1-34 1-67,67-65,65-83,83-73,73-75,75-34
1-34 1-67,67-66,66-84,84-74,74-75,75-34
1-34 1-67,67-66,66-82,82-74,74-75,75-34
1-35 1-67,67-65,65-81,81-73,73-75,75-35
1-35 1-67,67-65,65-83,83-73,73-75,75-35
1-35 1-67,67-66,66-84,84-74,74-75,75-35
1-35 1-67,67-66,66-82,82-74,74-75,75-35
1-36 1-67,67-65,65-81,81-73,73-75,75-36
1-36 1-67,67-65,65-83,83-73,73-75,75-36
1-36 1-67,67-66,66-84,84-74,74-75,75-36
1-36 1-67,67-66,66-82,82-74,74-75,75-36
1-37 1-67,67-65,65-81,81-73,73-75,75-37
1-37 1-67,67-65,65-83,83-73,73-75,75-37
1-37 1-67,67-66,66-84,84-74,74-75,75-37
1-37 1-67,67-66,66-82,82-74,74-75,75-37
1-38 1-67,67-65,65-81,81-73,73-75,75-38
1-38 1-67,67-65,65-83,83-73,73-75,75-38
1-38 1-67,67-66,66-84,84-74,74-75,75-38
1-38 1-67,67-66,66-82,82-74,74-75,75-38
1-39 1-67,67-65,65-81,81-73,73-75,75-39
1-39 1-67,67-65,65-83,83-73,73-75,75-39
1-39 1-67,67-66,66-84,84-74,74-75,75-39
1-39 1-67,67-66,66-82,82-74,74-75,75-39
1-40 1-67,67-65,65-81,81-73,73-75,75-40
1-40 1-67,67-65,65-83,83-73,73-75,75-40
1-40 1-67,67-66,66-84,84-74,74-75,75-40
1-40 1-67,67-66,66-82,82-74,74-75,75-40
1-41 1-67,67-65,65-81,81-73,73-76,76-41
1-41 1-67,67-65,65-83,83-73,73-76,76-41
1-41 1-67,67-66,66-84,84-74,74-76,76-41
1-41 1-67,67-66,66-82,82-74,74-76,76-41
1-42 1-67,67-65,65-81,81-73,73-76,76-42
1-42 1-67,67-65,65-83,83-73,73-76,76-42
1-42 1-67,67-66,66-84,84-74,74-76,76-42
1-42 1-67,67-66,66-82,82-74,74-76,76-42
1-43 1-67,67-65,65-81,81-73,73-76,76-43
1-43 1-67,67-65,65-83,83-73,73-76,76-43
1-43 1-67,67-66,66-84,84-74,74-76,76-43
1-43 1-67,67-66,66-82,82-74,74-76,76-43
1-44 1-67,67-65,65-81,81-73,73-76,76-44
1-44 1-67,67-65,65-83,83-73,73-76,76-44
1-44 1-67,67-66,66-84,84-74,74-76,76-44
1-44 1-67,67-66,66-82,82-74,74-76,76-44
1-45 1-67,67-65,65-81,81-73,73-76,76-45
1-45 1-67,67-65,65-83,83-73,73-76,76-45
1-45 1-67,67-66,66-84,84-74,74-76,76-45
1-45 1-67,67-66,66-82,82-74,74-76,76-45
1-46 1-67,67-65,65-81,81-73,73-76,76-46
1-46 1-67,67-65,65-83,83-73,73-76,76-46
1-46 1-67,67-66,66-84,84-74,74-76,76-46
1-46 1-67,67-66,66-82,82-74,74-76,76-46
1-47 1-67,67-65,65-81,81-73,73-76,76-47
1-47 1-67,67-65,65-83,83-73,73-76,76-47
1-47 1-67,67-66,66-84,84-74,74-76,76-47
1-47 1-67,67-66,66-82,82-74,74-76,76-47
1-48 1-67,67-65,65-81,81-73,73-76,76-48
1-48 1-67,67-65,65-83,83-73,73-76,76-48
1-48 1-67,67-66,66-84,84-74,74-76,76-48
1-48 1-67,67-66,66-82,82-74,74-76,76-48
1-49 1-67,67-65,65-81,81-77,77-79,79-49
1-49 1-67,67-65,65-83,83-77,77-79,79-49
1-49 1-67,67-66,66-84,84-78,78-79,79-49
1-49 1-67,67-66,66-82,82-78,78-79,79-49
1-50 1-67,67-65,65-81,81-77,77-79,79-50
1-50 1-67,67-65,65-83,83-77,77-79,79-50
1-50 1-67,67-66,66-84,84-78,78-79,79-50
1-50 1-67,67-66,66-82,82-78,78-79,79-50
1-51 1-67,67-65,65-81,81-77,77-79,79-51
1-51 1-67,67-65,65-83,83-77,77-79,79-51
1-51 1-67,67-66,66-84,84-78,78-79,79-51
1-51 1-67,67-66,66-82,82-78,78-79,79-51
1-52 1-67,67-65,65-81,81-77,77-79,79-52
1-52 1-67,67-65,65-83,83-77,77-79,79-52
1-52 1-67,67-66,66-84,84-78,78-79,79-52
