1-2 1-67,67-2
1-3 1-67,67-3
1-4 1-67,67-4
1-5 1-67,67-5
1-6 1-67,67-6
1-7 1-67,67-7
1-8 1-67,67-8
1-9 1-67,67-9
1-10 1-67,67-10
1-11 1-67,67-11
1-12 1-67,67-12
1-13 1-67,67-13
1-14 1-67,67-14
1-15 1-67,67-15
1-16 1-67,67-16
1-17 1-67,67-65,65-68,68-17
1-17 1-67,67-66,66-68,68-17
1-18 1-67,67-65,65-68,68-18
1-18 1-67,67-66,66-68,68-18
1-19 1-67,67-65,65-68,68-19
1-19 1-67,67-66,66-68,68-19
1-20 1-67,67-65,65-68,68-20
1-20 1-67,67-66,66-68,68-20
1-21 1-67,67-65,65-68,68-21
1-21 1-67,67-66,66-68,68-21
1-22 1-67,67-65,65-68,68-22
1-22 1-67,67-66,66-68,68-22
1-23 1-67,67-65,65-68,68-23
1-23 1-67,67-66,66-68,68-23
1-24 1-67,67-65,65-68,68-24
1-24 1-67,67-66,66-68,68-24
1-25 1-67,67-65,65-68,68-25
1-25 1-67,67-66,66-68,68-25
1-26 1-67,67-65,65-68,68-26
1-26 1-67,67-66,66-68,68-26
1-27 1-67,67-65,65-68,68-27
1-27 1-67,67-66,66-68,68-27
1-28 1-67,67-65,65-68,68-28
1-28 1-67,67-66,66-68,68-28
1-29 1-67,67-65,65-68,68-29
1-29 1-67,67-66,66-68,68-29
1-30 1-67,67-65,65-68,68-30
1-30 1-67,67-66,66-68,68-30
1-31 1-67,67-65,65-68,68-31
1-31 1-67,67-66,66-68,68-31
1-32 1-67,67-65,65-68,68-32
1-32 1-67,67-66,66-68,68-32
1-33 1-67,67-65,65-73,73-69,69-71,71-33
1-33 1-67,67-65,65-73,73-70,70-71,71-33
1-33 1-67,67-65,65-74,74-69,69-71,71-33
1-33 1-67,67-65,65-74,74-70,70-71,71-33
1-33 1-67,67-65,65-75,75-69,69-71,71-33
1-33 1-67,67-65,65-75,75-70,70-71,71-33
1-33 1-67,67-65,65-76,76-69,69-71,71-33
1-33 1-67,67-65,65-76,76-70,70-71,71-33
1-33 1-67,67-66,66-73,73-69,69-71,71-33
1-33 1-67,67-66,66-73,73-70,70-71,71-33
1-33 1-67,67-66,66-74,74-69,69-71,71-33
1-33 1-67,67-66,66-74,74-70,70-71,71-33
1-33 1-67,67-66,66-75,75-69,69-71,71-33
1-33 1-67,67-66,66-75,75-70,70-71,71-33
1-33 1-67,67-66,66-76,76-69,69-71,71-33
1-33 1-67,67-66,66-76,76-70,70-71,71-33
1-34 1-67,67-65,65-73,73-69,69-71,71-34
1-34 1-67,67-65,65-73,73-70,70-71,71-34
1-34 1-67,67-65,65-74,74-69,69-71,71-34
1-34 1-67,67-65,65-74,74-70,70-71,71-34
1-34 1-67,67-65,65-75,75-69,69-71,71-34
1-34 1-67,67-65,65-75,75-70,70-71,71-34
1-34 1-67,67-65,65-76,76-69,69-71,71-34
1-34 1-67,67-65,65-76,76-70,70-71,71-34
1-34 1-67,67-66,66-73,73-69,69-71,71-34
1-34 1-67,67-66,66-73,73-70,70-71,71-34
1-34 1-67,67-66,66-74,74-69,69-71,71-34
1-34 1-67,67-66,66-74,74-70,70-71,71-34
1-34 1-67,67-66,66-75,75-69,69-71,71-34
1-34 1-67,67-66,66-75,75-70,70-71,71-34
1-34 1-67,67-66,66-76,76-69,69-71,71-34
1-34 1-67,67-66,66-76,76-70,70-71,71-34
1-35 1-67,67-65,65-73,73-69,69-71,71-35
1-35 1-67,67-65,65-73,73-70,70-71,71-35
1-35 1-67,67-65,65-74,74-69,69-71,71-35
1-35 1-67,67-65,65-74,74-70,70-71,71-35
1-35 1-67,67-65,65-75,75-69,69-71,71-35
1-35 1-67,67-65,65-75,75-70,70-71,71-35
1-35 1-67,67-65,65-76,76-69,69-71,71-35
1-35 1-67,67-65,65-76,76-70,70-71,71-35
1-35 1-67,67-66,66-73,73-69,69-71,71-35
1-35 1-67,67-66,66-73,73-70,70-71,71-35
1-35 1-67,67-66,66-74,74-69,69-71,71-35
1-35 1-67,67-66,66-74,74-70,70-71,71-35
1-35 1-67,67-66,66-75,75-69,69-71,71-35
1-35 1-67,67-66,66-75,75-70,70-71,71-35
1-35 1-67,67-66,66-76,76-69,69-71,71-35
1-35 1-67,67-66,66-76,76-70,70-71,71-35
1-36 1-67,67-65,65-73,73-69,69-71,71-36
1-36 1-67,67-65,65-73,73-70,70-71,71-36
1-36 1-67,67-65,65-74,74-69,69-71,71-36
1-36 1-67,67-65,65-74,74-70,70-71,71-36
1-36 1-67,67-65,65-75,75-69,69-71,71-36
1-36 1-67,67-65,65-75,75-70,70-71,71-36
1-36 1-67,67-65,65-76,76-69,69-71,71-36
1-36 1-67,67-65,65-76,76-70,70-71,71-36
1-36 1-67,67-66,66-73,73-69,69-71,71-36
1-36 1-67,67-66,66-73,73-70,70-71,71-36
1-36 1-67,67-66,66-74,74-69,69-71,71-36
1-36 1-67,67-66,66-74,74-70,70-71,71-36
1-36 1-67,67-66,66-75,75-69,69-71,71-36
1-36 1-67,67-66,66-75,75-70,70-71,71-36
1-36 1-67,67-66,66-76,76-69,69-71,71-36
1-36 1-67,67-66,66-76,76-70,70-71,71-36
1-37 1-67,67-65,65-73,73-69,69-71,71-37
1-37 1-67,67-65,65-73,73-70,70-71,71-37
1-37 1-67,67-65,65-74,74-69,69-71,71-37
1-37 1-67,67-65,65-74,74-70,70-71,71-37
1-37 1-67,67-65,65-75,75-69,69-71,71-37
1-37 1-67,67-65,65-75,75-70,70-71,71-37
1-37 1-67,67-65,65-76,76-69,69-71,71-37
1-37 1-67,67-65,65-76,76-70,70-71,71-37
1-37 1-67,67-66,66-73,73-69,69-71,71-37
1-37 1-67,67-66,66-73,73-70,70-71,71-37
1-37 1-67,67-66,66-74,74-69,69-71,71-37
1-37 1-67,67-66,66-74,74-70,70-71,71-37
1-37 1-67,67-66,66-75,75-69,69-71,71-37
1-37 1-67,67-66,66-75,75-70,70-71,71-37
1-37 1-67,67-66,66-76,76-69,69-71,71-37
1-37 1-67,67-66,66-76,76-70,70-71,71-37
1-38 1-67,67-65,65-73,73-69,69-71,71-38
1-38 1-67,67-65,65-73,73-70,70-71,71-38
1-38 1-67,67-65,65-74,74-69,69-71,71-38
1-38 1-67,67-65,65-74,74-70,70-71,71-38
1-38 1-67,67-65,65-75,75-69,69-71,71-38
1-38 1-67,67-65,65-75,75-70,70-71,71-38
1-38 1-67,67-65,65-76,76-69,69-71,71-38
1-38 1-67,67-65,65-76,76-70,70-71,71-38
1-38 1-67,67-66,66-73,73-69,69-71,71-38
1-38 1-67,67-66,66-73,73-70,70-71,71-38
1-38 1-67,67-66,66-74,74-69,69-71,71-38
1-38 1-67,67-66,66-74,74-70,70-71,71-38
1-38 1-67,67-66,66-75,75-69,69-71,71-38
1-38 1-67,67-66,66-75,75-70,70-71,71-38
1-38 1-67,67-66,66-76,76-69,69-71,71-38
1-38 1-67,67-66,66-76,76-70,70-71,71-38
1-39 1-67,67-65,65-73,73-69,69-71,71-39
1-39 1-67,67-65,65-73,73-70,70-71,71-39
1-39 1-67,67-65,65-74,74-69,69-71,71-39
1-39 1-67,67-65,65-74,74-70,70-71,71-39
1-39 1-67,67-65,65-75,75-69,69-71,71-39
1-39 1-67,67-65,65-75,75-70,70-71,71-39
1-39 1-67,67-65,65-76,76-69,69-71,71-39
1-39 1-67,67-65,65-76,76-70,70-71,71-39
1-39 1-67,67-66,66-73,73-69,69-71,71-39
1-39 1-67,67-66,66-73,73-70,70-71,71-39
1-39 1-67,67-66,66-74,74-69,69-71,71-39
1-39 1-67,67-66,66-74,74-70,70-71,71-39
1-39 1-67,67-66,66-75,75-69,69-71,71-39
1-39 1-67,67-66,66-75,75-70,70-71,71-39
1-39 1-67,67-66,66-76,76-69,69-71,71-39
1-39 1-67,67-66,66-76,76-70,70-71,71-39
1-40 1-67,67-65,65-73,73-69,69-71,71-40
1-40 1-67,67-65,65-73,73-70,70-71,71-40
1-40 1-67,67-65,65-74,74-69,69-71,71-40
1-40 1-67,67-65,65-74,74-70,70-71,71-40
1-40 1-67,67-65,65-75,75-69,69-71,71-40
1-40 1-67,67-65,65-75,75-70,70-71,71-40
1-40 1-67,67-65,65-76,76-69,69-71,71-40
1-40 1-67,67-65,65-76,76-70,70-71,71-40
1-40 1-67,67-66,66-73,73-69,69-71,71-40
1-40 1-67,67-66,66-73,73-70,70-71,71-40
1-40 1-67,67-66,66-74,74-69,69-71,71-40
1-40 1-67,67-66,66-74,74-70,70-71,71-40
1-40 1-67,67-66,66-75,75-69,69-71,71-40
1-40 1-67,67-66,66-75,75-70,70-71,71-40
1-40 1-67,67-66,66-76,76-69,69-71,71-40
1-40 1-67,67-66,66-76,76-70,70-71,71-40
